Version:,Intelligent Feeling Test Data 20160625V1
LineNumber:,11
StationNumber:,2
SerialNumber:,
Platfrom:,(null)
KeyName:,Y
Test MarketData:,115.776,293.506,156.732,0.534,80.547,1.203,76.185,113.880,0.702,1.236,1.255,153.356,0.486,0.000,0.000
FeelingCurve Data longht:1262
Trave,Force
0.644,153.306
0.645,153.284
0.646,153.262
0.647,153.238
0.648,153.212
0.649,153.185
0.650,153.141
0.651,153.092
0.652,153.057
0.653,153.020
0.654,152.981
0.655,152.939
0.656,152.895
0.657,152.848
0.658,152.799
0.659,152.748
0.660,152.693
0.661,152.636
0.662,152.576
0.663,152.513
0.664,152.447
0.665,152.343
0.666,152.234
0.667,152.159
0.668,152.082
0.669,152.004
0.670,151.925
0.671,151.846
0.672,151.768
0.673,151.690
0.674,151.614
0.675,151.538
0.676,151.465
0.677,151.393
0.678,151.324
0.679,151.256
0.680,151.191
0.681,151.097
0.682,151.007
0.683,150.949
0.684,150.892
0.685,150.838
0.686,150.784
0.687,150.733
0.688,150.683
0.689,150.635
0.690,150.590
0.691,150.546
0.692,150.505
0.693,150.467
0.694,150.431
0.695,150.383
0.696,150.339
0.697,150.312
0.698,150.287
0.699,150.262
0.700,150.237
0.701,150.212
0.702,150.185
0.703,150.156
0.704,150.125
0.705,150.090
0.706,150.051
0.707,150.007
0.708,149.958
0.709,149.904
0.710,149.844
0.711,149.779
0.712,149.708
0.713,149.590
0.714,149.462
0.715,149.369
0.716,149.272
0.717,149.171
0.718,149.065
0.719,148.956
0.720,148.843
0.721,148.728
0.722,148.610
0.723,148.489
0.724,148.367
0.725,148.244
0.726,148.120
0.727,147.996
0.728,147.873
0.729,147.691
0.730,147.514
0.731,147.401
0.732,147.291
0.733,147.186
0.734,147.085
0.735,146.988
0.736,146.897
0.737,146.809
0.738,146.726
0.739,146.646
0.740,146.569
0.741,146.493
0.742,146.419
0.743,146.344
0.744,146.268
0.745,146.189
0.746,146.108
0.747,146.022
0.748,145.932
0.749,145.836
0.750,145.734
0.751,145.626
0.752,145.512
0.753,145.328
0.754,145.131
0.755,144.992
0.756,144.847
0.757,144.696
0.758,144.542
0.759,144.383
0.760,144.221
0.761,144.056
0.762,143.889
0.763,143.721
0.764,143.553
0.765,143.384
0.766,143.216
0.767,143.051
0.768,142.887
0.769,142.728
0.770,142.573
0.771,142.423
0.772,142.279
0.773,142.141
0.774,141.950
0.775,141.774
0.776,141.668
0.777,141.569
0.778,141.479
0.779,141.395
0.780,141.319
0.781,141.250
0.782,141.186
0.783,141.127
0.784,141.072
0.785,141.020
0.786,140.970
0.787,140.921
0.788,140.872
0.789,140.796
0.790,140.714
0.791,140.653
0.792,140.587
0.793,140.515
0.794,140.435
0.795,140.348
0.796,140.251
0.797,140.146
0.798,140.031
0.799,139.906
0.800,139.771
0.801,139.551
0.802,139.313
0.803,139.144
0.804,138.970
0.805,138.790
0.806,138.606
0.807,138.420
0.808,138.234
0.809,138.049
0.810,137.867
0.811,137.688
0.812,137.516
0.813,137.350
0.814,137.117
0.815,136.901
0.816,136.770
0.817,136.648
0.818,136.535
0.819,136.431
0.820,136.334
0.821,136.244
0.822,136.160
0.823,136.079
0.824,136.002
0.825,135.888
0.826,135.774
0.827,135.696
0.828,135.615
0.829,135.530
0.830,135.441
0.831,135.348
0.832,135.250
0.833,135.146
0.834,135.036
0.835,134.921
0.836,134.801
0.837,134.676
0.838,134.478
0.839,134.271
0.840,134.128
0.841,133.981
0.842,133.832
0.843,133.679
0.844,133.525
0.845,133.370
0.846,133.214
0.847,133.059
0.848,132.904
0.849,132.751
0.850,132.600
0.851,132.453
0.852,132.308
0.853,132.168
0.854,131.965
0.855,131.772
0.856,131.649
0.857,131.531
0.858,131.417
0.859,131.307
0.860,131.201
0.861,131.099
0.862,130.999
0.863,130.903
0.864,130.808
0.865,130.716
0.866,130.626
0.867,130.537
0.868,130.449
0.869,130.362
0.870,130.275
0.871,130.188
0.872,130.100
0.873,130.010
0.874,129.917
0.875,129.821
0.876,129.720
0.877,129.613
0.878,129.499
0.879,129.376
0.880,129.243
0.881,129.098
0.882,128.942
0.883,128.772
0.884,128.588
0.885,128.390
0.886,128.178
0.887,127.953
0.888,127.716
0.889,127.468
0.890,127.211
0.891,126.947
0.892,126.678
0.893,126.407
0.894,126.136
0.895,125.869
0.896,125.606
0.897,125.350
0.898,125.102
0.899,124.865
0.900,124.637
0.901,124.420
0.902,124.213
0.903,124.016
0.904,123.827
0.905,123.646
0.906,123.470
0.907,123.214
0.908,122.961
0.909,122.791
0.910,122.619
0.911,122.443
0.912,122.262
0.913,122.076
0.914,121.884
0.915,121.686
0.916,121.379
0.917,121.064
0.918,120.849
0.919,120.632
0.920,120.415
0.921,120.198
0.922,119.983
0.923,119.667
0.924,119.360
0.925,119.162
0.926,118.971
0.927,118.786
0.928,118.607
0.929,118.435
0.930,118.190
0.931,117.956
0.932,117.808
0.933,117.664
0.934,117.523
0.935,117.386
0.936,117.251
0.937,117.118
0.938,116.985
0.939,116.853
0.940,116.653
0.941,116.450
0.942,116.311
0.943,116.171
0.944,116.027
